X,Y,OBJECTID,status,eventIsland,directLineDistance1,directLineDistance2,directLineDistance3,eventDescription,eventType,expectedResolution,impact,planned,restrictions,startDate,endDate,informationSource,supplier,eventCreated,eventModified,GDB_GEOMATTR_DATA,GlobalID,eventComments,locationArea,alternativeRoute,eventId,CreationDate,Creator,EditDate,Editor
1258943.72862476,5004113.96879064,100357,Active,South Island,,,,Other,Road Work,26/10/2023 06:00,Caution,true,,2023/09/10 08:00:06+00,2023/10/25 18:00:06+00,NZTA,Official,2023/09/08 01:17:56.090+00,2023/09/10 08:00:25.087+00,,d7321e19-bba5-4041-b3c9-a53e98d46263,,"SH 6A Queenstown, near Suburb Street",,440728,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1772872.30479034,5891426.26321295,100358,Resolved,North Island,0.54 km northwest of Runciman,0.63 km south of Drury,2.89 km southwest of Opaheke,Maintenance,Road Work,22/09/2023 03:27,Road Closed,true,,2023/09/21 09:00:00+00,2023/09/21 15:27:26.520+00,NZTA,Official,2023/09/20 23:47:22.283+00,2023/09/21 15:27:25.447+00,,55c9b37f-d1b8-45e8-b970-efc84a795687,,SH 1 Drury On-ramp Northbound,,442919,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1669762.45882926,5323777.70677423,100361,Scheduled,South Island,,,,Resurfacing,Road Work,04/10/2023 19:00,Delays,true,,2023/10/03 18:00:00.563+00,2023/10/04 07:00:00.563+00,NZTA,Official,2023/09/17 22:54:50.937+00,2023/09/17 22:54:53.883+00,,58cf579f-5bb9-4938-9c32-75085669cd8a,,SH 1 5km north of Half Moon Bay (Paparoa Point),,441607,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1798919.64001776,5737778.64687497,100362,Active,North Island,1.27 km southeast of Kopaki,2.96 km north of Mangapehi,4.49 km southwest of Mangaokewa,Other,Road Work,Until further notice,Caution,true,,2023/07/17 01:32:00+00,2023/10/30 12:00:00+00,NMC,Official,2023/07/17 01:38:16.407+00,2023/09/21 21:19:03.053+00,,8831358d-ac00-4c3d-a234-086f1c48b371,,SH 30 Kopaki,,433971,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1819319.75596588,5657818.01304819,100363,Active,North Island,,,,Snow,Road Hazard,Until further notice,Caution,false,,2023/08/01 19:32:53.407+00,,NZTA,Official,2023/08/01 19:32:53.820+00,2023/08/22 02:57:47.037+00,,c33f7839-d8e1-4e4d-819f-7d4d751890e3,,"SH N/A Bruce Road, Ruapehu",,436491,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1785867.66761835,5488578.37693416,100366,Resolved,North Island,,,,Other,Road Work,Until further notice,Caution,true,,2023/09/21 07:00:31.120+00,2023/09/21 16:52:17+00,NZTA,Official,2023/09/21 07:01:59.683+00,2023/09/21 16:53:47.307+00,,4f758124-eaa7-408f-a7cd-1d33d4d0edb1,,"SH 1 Otaki to Manakau, near Atkins Road intersection",,442983,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1730452.46626542,5973499.96324357,100367,Resolved,North Island,0.39 km northeast of Tauhoa,4.66 km north of Mangakura,6.07 km west of Hoteo,Other,Road Work,22/09/2023 06:00,Caution,true,,2023/09/18 07:00:00+00,2023/09/21 18:00:00+00,NMC,Official,2023/09/15 03:32:34.390+00,2023/09/21 18:01:14.650+00,,4eae20fd-6f5f-4aec-9b98-6f8825d5ba23,,SH 16 Tauhoa,,441373,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1644498.83949143,5443409.42898991,100370,Active,South Island,,,,Other,Road Work,Until further notice,Caution,true,,2023/03/26 18:00:00+00,2024/03/31 06:00:00+00,NZTA,Official,2023/03/24 03:39:44.817+00,2023/03/30 21:18:19.567+00,,edfa6e2d-0783-4951-92b6-aa92a9688943,,SH 6 Hira to Rai Valley,,419591,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1748824.63296253,5945446.85308836,100371,Resolved,North Island,0.68 km south of Silverdale,2.79 km east of Pine Valley,3.80 km southwest of Red Beach,Maintenance,Road Work,22/09/2023 04:09,Road Closed,true,,2023/09/21 09:00:00+00,2023/09/21 16:09:30.777+00,NZTA,Official,2023/09/20 23:39:26.397+00,2023/09/21 16:09:30.040+00,,b894a72b-7131-4e38-9dd4-90af70ec4e42,,SH 1 Silverdale On-ramp Southbound,,442912,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1791922.28627256,5780470.505122,100373,Resolved,North Island,0.32 km south of Tihiroa,3.89 km west of Te Kawa West,4.81 km south of Te Kopua,Other,Road Work,Until further notice,Caution,true,,2023/09/20 21:38:00+00,2023/09/21 05:00:00+00,NMC,Official,2023/09/20 21:39:43.993+00,2023/09/21 05:01:23.070+00,,3aebe233-d367-49ff-b1e9-e86e734d58e6,,SH 31 Tihiroa,,442889,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1621036.54221936,5427693.90669607,100374,Scheduled,South Island,,,,Other,Road Work,28/09/2023 05:00,Delays,true,,2023/09/27 08:00:00.140+00,2023/09/27 17:00:00.140+00,NZTA,Official,2023/09/21 00:17:41.880+00,2023/09/21 00:19:20.513+00,,87ea14b0-50ab-4129-bebf-a36f8b21c90a,,SH 6 Beatson Roundabout,,442932,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1867417.77997925,5549144.28788307,100375,Active,North Island,,,,Resurfacing,Road Work,Until further notice,Caution,true,,2023/08/17 20:49:50.343+00,2023/10/19 20:49:50.343+00,NZTA,Official,2023/08/17 21:02:13.863+00,2023/09/12 22:24:13.890+00,,78702d6a-d92e-4ce1-aee1-aabcc2c2dabb,,"SH 2 Piripiri, near to intersection with Otanga Road",,438975,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1822970.44127387,5828905.4289803,100376,Active,North Island,0.78 km south of Morrinsville,1.90 km east of Kuranui,6.46 km northeast of Motumaoho,Resurfacing,Road Work,Until further notice,Delays,true,,2023/09/11 00:09:00+00,2023/09/24 17:00:00+00,NMC,Official,2023/09/11 00:33:01.940+00,2023/09/21 17:00:47.623+00,,8f56c5e3-6149-4a2a-80f4-19f7f3879f35,,SH 26 Morrinsville to Te Aroha,,440977,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
1723289.01463504,6003552.35995403,100377,Scheduled,North Island,1.58 km northeast of Maungaturoto,5.51 km west of Brynderwyn,5.66 km west of Pukekaroro,Resurfacing,Road Work,27/10/2023 17:00,Delays,true,,2023/09/25 19:00:00+00,2023/10/27 05:00:00+00,NMC,Official,2023/09/20 00:09:36.640+00,2023/09/20 00:09:36.640+00,,7394a6c8-d0ef-4693-abec-61afa7630e8e,,SH 12 Ruawai to Brynderwyn,,442827,2023/09/21 11:15:14.990+00,ETL_Integration_NZTA,2023/09/21 22:30:18.701+00,ETL_Integration_NZTA
